Title,Link,Abstract,AI Tutor Category,Education Setting,
"Comparison of Claude (Sonnet and Opus) and ChatGPT (GPT-4, GPT-4o, GPT-o1) in Analyzing Educational Image-Based Questions from Block-Based Programming Assessments",https://ieeexplore.ieee.org/document/11046263/,"This study presented a novel application of OpenAI's GPT-o1 model for analyzing educational image-based questions derived from block-based programming assessments, contributing to the first systematic exploration of this advanced AI model in this field. We evaluated GPT-o1 alongside other state-of-the-art models, including GPT-4, GPT-4o, GPT-4o mini, Claude3.5 Sonnet, and Claude-3 Opus, to assess their accuracy in solving multiple-choice and fill-in-the-blank questions from a standardized block-based programming test. Our findings demonstrated that GPT-o1 significantly outperformed other models, achieving an accuracy of 80 %, which we attributed to its enhanced image analysis capabilities. Comparative analyses revealed GPT-01's superior performance in interpreting and responding to visual prompts, particularly in tasks requiring logical reasoning and computational thinking. Furthermore, the Pearson correlation test highlighted significant relationships between GPT-o1 and GPT-4o. Our contributions highlighted the potential applications of advanced chatbots in block-based programming education. These technologies can serve as personalized learning tutors to guide students in understanding and solving block-based programming tasks independently. Additionally, they can assist educators in automating the grading process and generating tailored programming exercises, thus improving teaching efficiency.",2: AI Tutor ,2: CS,
Exploring Strategies to Improve Learning Outcomes in Video Analytics and Machine Learning in Large Classes,https://ieeexplore.ieee.org/document/11016368/,"The integration of Artificial Intelligence (AI) across various fields has transformed the educational landscape and demands a targeted approach to teaching AI in an academic setting. As lecturers aim to prepare students for an AI-driven future, they face various challenges arising from the complex and mathematical nature of AI. This paper explores the challenges of teaching and assessing AI modules in large classrooms by implementing a student-centred approach alongside formative assessment and feedback. It also examines issues related to the diversity of students' skill sets and learning style. This study was conducted on two different cohorts of the same module, Video Analytics and Machine Learning during 2022-2024. Two distinct cohorts were chosen to ensure unbiased conclusions in our study. By recognising and actively addressing these challenges, lecturers can more effectively equip students with the skills needed to navigate this rapidly evolving field. In conclusion, this study shows that implementing formative assessments like quizzes and student-centred approaches are highly beneficial in large classrooms and lead to a significant improvement in student performance and learning outcomes. In addition, the analysis shows that students who are more actively engaged with quizzes tend to score higher on the module. While the overall student feedback has been positive and there has been noticeable improvement in performance, it is important to recognise that there have been instances of unsatisfactory student outcomes as well.",1: Somewhat AI related,2: CS,
The application of AI in precise ideological and political affairs in colleges,https://ieeexplore.ieee.org/document/9534642/,"With the advent of the era of big data and artificial intelligence technology, the emerging technologies provide innovative means for ideological and political education. The trend of ideological and political education in colleges and universities in the new era is to be precise. In this article, we have studied how to use big data and artificial intelligence technology to enable educators to break the limitations of time, space and huge workload in traditional methods, and help educators achieve precise positioning, precise portraits, precise customization, precise education and accurate feedback to complete an ideological and political education system. Among them, this article uses Fasttext word embedding model and fully connected neural network to implement a student political and ideological profiler, using some student data samples from the University of Electronic Science and Technology of China for training and classification, and the effect is good. This proves that it is feasible to use artificial intelligence technology to help colleges and universities achieve precise ideological and political education.",1: Somewhat AI related,1: Other ,
AI-Based Education Tools for Enabling Inclusive Education: Challenges and Benefits,https://ieeexplore.ieee.org/document/10569714/,"Advancements in artificial intelligence (AI) have sparked high hopes for the potential impact of AI on education and learning. AI tools designed for educational purposes encompass diverse solutions, including intelligent tutoring systems, chatbots, robotics, learning analytics dashboards, adaptive learning systems, and automated assessments. These tools have the capacity to fortify and augment the educational process. Integrating AI-based educational tools not only holds advantages for students, educators, and institutions, but also has the potential to facilitate or enhance inclusive education notably. This article presents the findings of analyzing available AI technologies and tools for education with the capacity to contribute to inclusive education. The study aims to identify and classify the challenges and benefits associated with AI-based education tools in the context of enabling inclusive education.",1: Somewhat AI related,1: Other ,
Assessing ChatGPT’s Influence on Productivity and Learning Outcomes in Higher Education: A Comprehensive Analysis,https://ieeexplore.ieee.org/document/10932635/,"This paper investigates the influence of ChatGPT on efficiency and learning within higher education, demonstrating its significant role in enhancing progress towards achievement of Sustainable Development Goal 4(quality education). A study conducted by researchers at a leading university in Northen India surveyed over 431 students and faculty members. Data was analyzed using statistical analysis and revealed how ChatGPT impacts the learning and hence the overall productivity of students. High engagement was observed, with correlations between increased usage and enhanced perceived support for learning (r = 0.45) and productivity (r = 0.55). Productivity analysis revealed significant differences across usage frequency groups (F- Statistic = 272.46, p-value ≈ 0). Personalized learning experiences provided by LLMs are helping students to skill up and Faculty to prepare the students to enter the workforce with a proactive learning mindset, aligning educational outcomes with industry needs.",2: AI Tutor ,1: Other ,
Exploring the Role of AI and VR in Addressing Antisocial Behavior Among Students: A Promising Approach for Educational Enhancement,https://ieeexplore.ieee.org/document/10609387/,"This study investigates the complex interactions between hypotheses and factors involved in deploying AI-powered virtual assistants in augmented reality (AR) and virtual reality (VR) environments to combat antisocial behavior among students. It reveals significant insights by investigating a variety of independent variables such as the characteristics of AI-driven virtual assistants, development and implementation aspects, contributions from educational institutions and technology developers, and strategic initiatives, as well as their impact on dependent variables like improved educational outcomes and transformed learning experience. A quantitative investigation finds significant correlations between the characteristics and functions of AI-powered virtual assistants, developmental factors, and educational outcomes for students exhibiting antisocial behavior. These findings demonstrate the potential of modern technology to enhance educational experiences and outcomes. They also emphasize the significance of virtual assistant features in influencing educational achievements. Furthermore, qualitative insights emphasize the relevance of stakeholder participation, institutional support, and specialized integration strategies in overcoming challenges such as resource limitations and technical barriers. Finally, this study offers evidence-based recommendations for educators, policymakers, and technology developers on utilizing AI-powered technologies to create inclusive and accessible learning environments, particularly when dealing with student disruptive behavior. The project’s goal is to support continuous improvement in educational practices and policies by clarifying the factors that influence the integration and impact of AI-driven virtual assistants, thereby aiding students’ academic performance and social development in the digital age.",2: AI Tutor ,1: Other ,
“I'm Actually More Interested in AI Than in Computer Science” - 12-Year-Olds Describing Their First Encounter with AI,https://ieeexplore.ieee.org/document/11016657/,"As artificial intelligence (AI) systems become increasingly integrated into everyday life, children grow up surrounded by these technologies. This study explores how 12-year-old students perceive AI systems and examines the relationship between their experiences with AI and their general interest in computer science. By employing a biographical research approach, we asked students to describe their first encounter with an AI system. The research focuses on (a) where and how 12-year-olds consciously encounter AI for the first time, (b) which aspects they emphasize when recalling their initial experience and, finally, (c) how this is related to their interest in computer science. Utilizing the SEAME framework for the analysis, the data reveals that the categories of ‘Application’ and ‘Social and Ethical Considerations’ were far more prominent in the students' reflections compared to the more technical aspects of ‘Model’ and ‘Engine’. Specifically, students with a lower interest in computer science were more likely to focus on the ‘Social and Ethical considerations’ of AI, while those with a high interest in computer science were the only group to provide responses related to ‘Models’. These findings suggest that while AI systems are omnipresent in the lives of young students, their experiences and perceptions vary significantly depending on their interest in computer science.",1: Somewhat AI related,2: CS,
Work in progress: Educational Technology and Knowledge Tracing Models,https://ieeexplore.ieee.org/document/9782335/,"Nowadays, the rapid development of computing technology and its contribution to the creation and widespread availability of information, have changed the data in the school environment in all areas. However, having a lot of information available is not the same as learning from it. Cognitive psychology, artificial intelligence, and informatics have advanced to the level where it is achievable to create computer systems for intelligent tutoring. Also, educational technology can strengthen the learning process both inside and outside the classroom. In this paper, a specific discussion is conducted on how computer science and specifically Knowledge Tracing Models can support learning with the use of educational technology.",2: AI Tutor ,2: CS,
The Global Research Landscape of AI in education: A Bibliometric analysis of Pathway Evolution and Frontier Issues,https://ieeexplore.ieee.org/document/11137070/,"In recent years, research on Artificial Intelligence in Education (AIED) has progressed rapidly, making it essential to understand its research trends and developments to drive technological innovation and implementation in the education sector. Through a bibliometric analysis of 2,038 papers retrieved from the Web of Science database, we identified that China, the United States, Australia, and the United Kingdom are leading in this field. The bibliometric analysis reveals that the primary applications of artificial intelligence technologies in education include deep learning, machine learning, augmented reality, computer vision, and natural language processing (NLP). These technologies have been widely applied in various scenarios, such as intelligent tutoring systems, automated grading systems, and educational robots. Notably, generative AI technologies are advancing rapidly, sparking extensive discussions and controversies in education and other societal domains. Looking ahead, the development of education requires further cultivation of AI-driven thinking and the support of relevant policies to promote the deep integration of technology and education.",2: AI Tutor ,1: Other ,
Toward AI-facilitated Learning Cycle in Integration Course Through Pair Programming with AI Agents,https://ieeexplore.ieee.org/document/10663037/,We propose a new methodology that harnesses recent advancements in AI techniques to formulate an AI-facilitating code learning cycle for students. The approach builds on an existing learning process and innovatively incorporates pair programming into the learning cycle. It first transforms the example code into scaffold code as exercises through an instructor-AI pairing. The scaffold code serves as an exercise for students to complete and debug on a hardware platform iteratively with an expert AI assistant. This design alleviates instructors' burden of crafting new exercises for new scenarios and offers students the advantage of interactive learning with scenario diversity. We evaluate the methodology using a suite of example codes and assess the semantic similarity among different code versions produced by AI assistants. The case study shows promising results of the methodology. We further discuss our findings and outline future work for the proposed methodology.,2: AI Tutor ,2: CS,
AI-Driven Personalized Learning Paths: Enhancing Student Engagement Through Gamification and Interdisciplinary Integration,https://ieeexplore.ieee.org/document/11158040/,"Today, artificial intelligence (AI) is increasingly being used in education to create a more personalized learning experience. This study focuses on how personalized learning with the help of AI can increase student engagement, especially by combining gamification elements and a cross-disciplinary approach. In this study, we used a mixed method, combining quantitative and qualitative analysis. On the quantitative side, we collected data on how students interact with AI-based learning platforms, such as engagement levels, quiz results, and task completion rates. Meanwhile, on the qualitative side, we analyzed conversations in discussion forums, student reflections, and feedback from educators to understand more deeply how their learning experiences were shaped. The results show that when learning is personalized with the help of AI, students are more motivated and have better learning outcomes. In particular, gamification features such as reward systems, challenges, and difficulty level adjustments have been shown to increase their engagement. In addition, connecting different disciplines in a single learning process helps students develop a more critical mindset and problem-solving skills. This research provides new insights into how AI technology can be effectively applied in education. We hope these findings can guide educators in creating more engaging, inclusive, and effective learning experiences for students in this digital age.",2: AI Tutor ,1: Other ,
ChatGPT and the Future of Translators: Overview of the Application of Interactive AI in English Translation Teaching,https://ieeexplore.ieee.org/document/10602989/,"This paper discusses the impact of interactive artificial intelligence ChatGPT on English translation teaching and the cultivation of future translators. As an emerging educational aid, interactive AI has begun to play an important role in language learning and translation training. The paper first outlines the technical features of ChatGPT and its potential applications in education. It then analyzes the benefits and challenges of improving students' language abilities, translation skills, and cultural awareness. Through in-depth analysis of empirical research and teaching case studies, the paper demonstrates the unique value of ChatGPT in providing real-time feedback, enriching teaching content, and creating authentic communication scenarios. Furthermore, the paper discusses the potential impact of ChatGPT on future translators, involving technological proficiency, professional ethics, and ethical issues. Recognizing the potential changes that interactive AI may bring to teaching and professional development, the paper proposes strategic recommendations for integrating these tools into the translation teaching system. Ultimately, the paper emphasizes the role of artificial intelligence in cultivating future translators with critical thinking and innovation capabilities. Through the teaching application of ChatGPT, this paper provides insights and guidance on how to effectively utilize interactive AI resources to support the growth of translation students.",2: AI Tutor ,1: Other ,
Student Perceptions of AI-Enhanced Adaptive Learning Systems: A Pilot Survey,https://ieeexplore.ieee.org/document/10772884/,"Artificial Intelligence (AI) significantly enhances adaptive learning by personalizing and tailoring instruction to individual student needs. AI analyzes data in real-time to create personalized learning paths based on students' strengths, weaknesses, and preferences, which keeps students engaged and motivated. A major benefit of AI in adaptive learning is the provision of real-time feedback and assessment, allowing students to correct mistakes promptly and understand concepts more thoroughly. AI-based intelligent tutoring systems are primarily intended to simulate personalized tutoring processes that guide students in complex problem-solving and answering questions. It is convenient in teaching mathematics, sciences, and languages. AI also supports inclusive education, dealing with diversified learning requirements and styles, such as those of learners with disabilities. For the teacher, AI acts as a reflector of student performance so that one can intervene early and make adjustments in the method of instruction by creating effective learning environments. AI technology is a field in constant development and harbors the potential to change the face of adaptive learning, bringing an upswing in educational outcomes. This article will summarize the advantages and features that merit improvement of the AI-embedded adaptive learning systems with student feedback.",2: AI Tutor ,1: Other ,
Empowered by Artificial Intelligence: Advancements in Cross-Disciplinary Research and Transformative Educational Reforms,https://ieeexplore.ieee.org/document/11021801/,"Artificial intelligence is a crucial field in computer science that has led to significant changes in various fields, especially cross-disciplinary research in Artificial Intelligence and management field. To minimize the expenses related to social talent training, strengthen the core competitiveness of experts, and enhance social sustainability, it is vital to execute an educational reform of ""artificial intelligence +"" that promotes the growth of cross-disciplinary programs in universities. This paper explores the implementation of AI technology in the fields of economics and management. We provide suggestions for reforms in the economics and management disciplines of higher quality of education, with a special emphasis on the AI technology in fostering individuals' proficiency in digital technologies and cultivating highly skilled professionals who can meet the demands of the new era.",1: Somewhat AI related,2: CS,
Coding Buddy: An Adaptive AI-Powered Platform for Personalized Learning,https://ieeexplore.ieee.org/document/10759044/,"In today's fast-paced tech world, students often struggle to keep up with complex programming concepts. Traditional online learning platforms fail to adapt to individual learning speeds, leaving many students frustrated and falling behind. Our research introduces “Coding Buddy,” an innovative online learning system designed to solve this problem. Coding Buddy uses advanced technology to track how each student learns and adapts the course content accordingly. By analyzing factors like the time spent on each lesson, the types of mistakes made, and how often students ask for help, our system creates a personalized learning experience. Our study of 1,000 computer science students showed that 70% found traditional online courses too rigid. With Coding Buddy, 85% of students reported better understanding of complex topics. The system's ability to adjust difficulty levels in real-time led to a 40% increase in course completion rates. The key innovation is our use of AI-powered chat assistants and granular difficulty levels. This allows Coding Buddy to offer explanations in simpler language when needed, or provide more challenging content for advanced learners. Our results suggest that this personalized approach significantly improves learning outcomes in tech education. By addressing the individual needs of each student, Coding Buddy represents a major step forward in online programming education, potentially revolutionizing how we teach and learn complex technical skills.",2: AI Tutor ,2: CS,
EduPlanner: LLM-Based Multiagent Systems for Customized and Intelligent Instructional Design,https://ieeexplore.ieee.org/document/10966044/,"Large language models (LLMs) have significantly advanced smart education in the artificial general intelligence era. A promising application lies in the automatic generalization of instructional design for curriculum and learning activities, focusing on two key aspects: 1) <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">customized generation:</i> generating niche-targeted teaching content based on students' varying learning abilities and states and 2) <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">intelligent optimization:</i> iteratively optimizing content based on feedback from learning effectiveness or test scores. Currently, a single large LLM cannot effectively manage the entire process, posing a challenge for designing intelligent teaching plans. To address these issues, we developed EduPlanner, an LLM-based multiagent system comprising an evaluator agent, an optimizer agent, and a question analyst, working in adversarial collaboration to generate customized and intelligent instructional design for curriculum and learning activities. Taking mathematics lessons as our example, EduPlanner employs a novel Skill-Tree structure to accurately model the background mathematics knowledge of student groups, personalizing instructional design for curriculum and learning activities according to students' knowledge levels and learning abilities. In addition, we introduce the CIDDP, an LLM-based 5-D evaluation module encompassing <bold xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">C</b>larity, <bold xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">I</b>ntegrity, <bold xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">D</b>epth, <bold xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">P</b>racticality, and <bold xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">P</b>ertinence, to comprehensively assess mathematics lesson plan quality and bootstrap intelligent optimization. Experiments conducted on the GSM8K and Algebra datasets demonstrate that EduPlanner excels in evaluating and optimizing instructional design for curriculum and learning activities. Ablation studies further validate the significance and effectiveness of each component within the framework.",2: AI Tutor ,1: Other ,
Correlation Between AI Tool Usage Frequency and Perceived Learning Effectiveness in Programming Education,https://ieeexplore.ieee.org/document/11080867/,"This study investigates the relationship between the frequency of AI tool use and students' perceived learning effectiveness in programming in a university-level IT classroom. During lab hours, Google Forms were used to collect data from students across all college levels. A sample size of 342 students was obtained using statistical techniques. The utility of AI technologies was assessed using a Likert scale, and correlation analysis was used to uncover links between usage frequency and perceived effectiveness. The findings revealed a statistically significant positive relationship between the frequency of AI tool use and students' perceived usefulness of these tools. Gender differences were also examined, with female students reporting slightly higher perceived utility of AI technologies than male students. Furthermore, academic year levels were investigated, with first-year students having the highest frequency of weekly AI tool use. This trend is attributed to their reliance on AI tools for foundational programming concepts, debugging, and problem-solving during their initial exposure to programming, which helps them navigate the steep learning curve typical of beginner courses. Strict ethical protocols, including data security and confidentiality measures, were enforced throughout the study. The findings highlight the need for further research to explore the specific factors influencing the relationship between AI tool usage and programming learning outcomes, as well as to inform targeted instructional strategies for diverse student demographics.",1: Somewhat AI related,2: CS,
Integration of Big Data and Artificial Intelligence in Constructing Learners' Individualized Feedback System,https://ieeexplore.ieee.org/document/10245381/,"The evolution of Artificial Intelligence (AI) systems has led to the emergence of different feedback methods in L2 writing. However, it is not clear how these alternative feedback methods can enhance writing quality and how they fit into the broader context of writing instruction. To address this issue, AI-based feedback system has been proposed as a potential solution in this study. It is the application of artificial intelligence technology in language writing. The feedback system is composed of front-end learning unit and back-end support unit. In multi-manuscript writing, the intelligent feedback system provides feedback in the aspects of text structure, context, style and rhetoric, which has certain significance to improve the quality of writing proficiency. The study involved 65 intermediate Chinese second language learners, they were divided into experimental and control groups. The experimental group received feedback with the help of the system by completing a multi-draft essay writing task. The findings revealed that learners in experimental group made the most accurate essay-writing task and they preferred the application of this feedback system. Learners acknowledged the potential benefits and drawbacks of using this system in producing high-quality writing. The study indicated that this AI-based feedback system will significantly improve learners' overall writing gains and the learning engagement.",2: AI Tutor ,1: Other ,
Hyperpersonalization of Educational Content Through Multimodal Deep Learning and Gamification,https://ieeexplore.ieee.org/document/10452428/,"This project proposes a groundbreaking approach to revolutionize the traditional educational framework by integrating multimodal deep learning and gamification to foster hyper-personalized learning experiences. Envisioning a classroom where education resonates with individual cognitive rhythms and passions, the system employs advanced algorithms to analyze text, voice, and facial expressions, thereby adapting content delivery to cater to diverse learning styles and needs. Concurrently, gamified elements such as points, badges, and personalized challenges enhance motivation, engagement, and retention. The teacher’s role transforms from a primary knowledge source to a skilled guide and facilitator, leveraging AI-driven insights to curate tailored learning experiences and interventions. This paradigm shift in pedagogy aims to create an inclusive, empowering, and adaptive learning environment where every student embarks on a personalized educational odyssey, celebrating their unique potential and fostering lifelong learning.",2: AI Tutor ,1: Other ,
Generative AI for Education: A Retrieval-Augmented System for Effective Feedback in Self-Assessment,https://ieeexplore.ieee.org/document/11016446/,"The application of generative AI in education has shown significant potential to enhance learning outcomes by providing personalized, adaptive feedback to students. In this work, we present a novel Retrieval-Augmented Generation (RAG) system designed to improve the explanations and feedback provided to students during self-assessment activities. The system we developed is grounded in the course's reference material, ensuring that the feedback remains accurate, consistent, and contextually relevant to the student's curriculum. The system retrieves information directly from the textbook, reducing ambiguity and interpretation errors, and generates responses tailored to the specific needs of each student. The feedback is not only designed to correct misconceptions but also to reinforce key concepts, making the system a valuable tool for self-guided learning. In this study, we also explore the importance of prompt engineering in creating effective AI-generated feedback. We detail the iterative process used to optimize the prompts and the strategies employed to ensure high-quality, interpretable responses. The findings from this work suggest that generative AI, when integrated with subject-specific textbooks and careful prompt engineering, can significantly enhance the educational experience by providing dynamic, and contextually accurate feedback. This approach opens new possibilities for AI-driven education tools, contributing to more personalized and effective learning experiences.",2: AI Tutor ,1: Other ,
Scaffolding Language Learning via Multi-modal Tutoring Systems with Pedagogical Instructions,https://ieeexplore.ieee.org/document/10605325/,"Intelligent tutoring systems (ITSs) that imitate human tutors and aim to provide immediate and customized instructions or feedback to learners have shown their effectiveness in education. With the emergence of generative artificial intelligence, large language models (LLMs) further entitle the systems to complex and coherent conversational interactions. These systems would be of great help in language education as it involves developing skills in communication, which, however, drew relatively less attention. Additionally, due to the complicated cognitive development at younger ages, more endeavors are needed for practical uses. Scaffolding refers to a teaching technique where teachers provide support and guidance to students for learning and developing new concepts or skills. It is an effective way to support diverse learning needs, goals, processes, and outcomes. In this work, we investigate how pedagogical instructions facilitate the scaffolding in ITSs, by conducting a case study on guiding children to describe images for language learning. We construct different types of scaffolding tutoring systems grounded in four fundamental learning theories: knowledge construction, inquiry-based learning, dialogic teaching, and zone of proximal development. For qualitative and quantitative analyses, we build and refine a seven-dimension rubric to evaluate the scaffolding process. In our experiment on GPT-4V, we observe that LLMs demonstrate strong potential to follow pedagogical instructions and achieve self-paced learning in different student groups. Moreover, we extend our evaluation framework from a manual to an automated approach, paving the way to benchmark various conversational tutoring systems.",2: AI Tutor ,1: Other ,
"Engineering, the Profession in Trouble: Lack of Programme Development Standards That Support the AI Chatbot? A System View",https://ieeexplore.ieee.org/document/10343985/,"As the world embraces the transformative potential of artificial intelligence (AI), large language models (LLM), and conversational agents also known as chatbots, the engineering profession stands at a crucial juncture. This paper critically examines the current state of engineering education and its readiness to incorporate AI chatbots effectively. Focusing on the lack of standardized programme development that supports AI chatbots, this paper sheds light on the implications of this gap for engineering education. Standardization is defined as the degree to which educational programmes meet common national and international quality standards. By synthesizing existing literature, this study investigates the challenges, opportunities, and strategies required to bridge this divide and ensure that engineering programmes are adequately equipped to produce graduates who can harness the power of AI chatbots. We found that strong and continuing trends are emerging in the use of AI and chatbots in engineering education and industry. We further noted that current standards from accreditation bodies need to respond to enable AI and chatbot incorporation from curriculum to pedagogical levels of engineering education. Industry-academia partnerships are vital in managing the integration of AI into engineering education.",1: Somewhat AI related,2: CS,
Design of Digital Empowered Smart Classroom System,https://ieeexplore.ieee.org/document/10982644/,"With the rapid development of information technology, the education sector is undergoing unprecedented changes. The smart classroom system greatly enhances students' learning experience and teachers' teaching efficiency through digital empowerment. It is a comprehensive teaching assistance platform that integrates data collection, analysis, and feedback. It uses advanced information technologies such as artificial intelligence, big data, cloud computing, etc. to upgrade and transform traditional classrooms, to improve teaching efficiency, promote personalized learning, and innovate education as a teaching mode. The system utilizes various sensors and intelligent devices to capture real-time learning behavior of students and teaching behavior of teachers in the classroom and uploads the data to cloud servers for deep processing and analysis. By recording and analyzing students' learning status and teachers' teaching effectiveness and using artificial intelligence algorithms to conduct in-depth analysis of behavioral states, personalized learning and teaching suggestions are provided for students and teachers, which helps to improve teaching quality and students' learning effectiveness and provides strong support for educational decision-making.",2: AI Tutor ,1: Other ,
The Impact of Virtual Learning Environments on the Practical Skills of Open Distance Learning Students in Electrical Engineering,https://ieeexplore.ieee.org/document/9856040/,"Open distance learning (ODL) education has been developing rapidly in South Africa. The main reason behind the growth is the demand for online studies created due to the corona pandemic. The ODL system involves study that is not limited by geographical boundaries and extends to many knowledge areas electronically. In practice the study tends to extend to knowledge areas beyond those offered by the standard contact or traditional universities. At the University of South Africa (UNISA), the adoption of the ODL framework to theoretical subjects has been successful by making use of the Sakai virtual learning environment (VLE). The practical subjects or practical knowledge areas on the other hand have previously been taught face-to-face. Therefore, the practical modules have not been effectively taught online particularly in the electrical engineering curriculum. This issue can contribute to graduates who are unskilled in the practical component of a knowledge area, which can lead to unemployment. Virtual learning environments (VLE's) play a vital role when it comes to teaching and learning online. In this paper, the impact of VLE’s on the practical skills of students and practical knowledge is investigated. This is done by analyzing the change in pass rates of students in a practical subject such as Electrical Engineering when taught face-to-face as compared to when taught through a VLE such as Sakai online. Two groups termed as emerging centered learner (ECL) and a developed centered learner (DCL) are investigated. The method evaluates students who study electrical engineering practical module part-time. In this paper the Sakai platform was used as a VLE to teach and then evaluate students in the electrical engineering practical module. The practical guide with the full set of experiments was uploaded on Sakai under additional resources. The students were given the necessary guidelines and tasks via Sakai online, examined and then the pass rates achieved were analyzed at the end of the program and compared to the pass rates achieved using previous face-to-face teaching method used for the same practical’s. It was determined that a VLE can be used to improve the pass rates of a practical module such as electrical engineering taught online in ODL.",0: Not related at all,2: CS,
ChatGPT-Aided Education Teaching,https://ieeexplore.ieee.org/document/10589964/,"The emergence of large-scale language models such as ChatGPT and its derivatives has revolutionized various fields. The powerful functions of ChatGPT have attracted extensive attention in education and academia. However, profound research on the impact and application of ChatGPT in education is still absent. Therefore, this paper investigates the latest development of ChatGPT -aided Educational Teaching since 2022. We summarized the widespread applications of ChatGPT -aided educational activities, such as user-oriented material and literature integration, teacher-oriented teaching conduct and assessment, student-orient personalized tutoring and research assistance. On this basis, we further investigated the recent emergence of ChatGPT -aided derivative tools, testing their functions and summarizing the powerful categories of tools. Finally, we analyzed the impact of the tools on education and teaching. Our study shows that the number of applications of large-scale language modeling in education has brought positive impacts to different audiences. The research results in this paper provide a solid foundation for the future application of ChatGPT in the field of education and teaching, and on the top of this, we put forward our outlook on the future application prospects.",2: AI Tutor ,1: Other ,
Elevating Medical Training: A Synergistic Fusion of AI and VR for Immersive Anatomy Learning and Practical Procedure Mastery,https://ieeexplore.ieee.org/document/10894451/,"Virtual reality with its 3D visualization have brought an overwhelming change in the face of medical education, especially for courses like human anatomy. The proposed virtual reality system to bring massive improvements in the education received by a medical student studying for their degree courses. The project puts forward the text-to-speech and speech-to-text aligned system that simplifies the usage of a chatbot empowered by OpenAI GPT-4 and allows pupils to vocally speak with Avatar, the set virtual assistant. Contrary to the current methodologies, the setup of virtual reality is powered by avatars and thus covers an enhanced virtual assistant environment. Avatars offer students the set of repeated practicing of medical procedures on it, and the real uniqueness in the proposed product. The developed virtual reality environment is enhanced over other current training techniques where a student should interact and immerse in three-dimensional human organs for visualization in three dimensions and hence get better knowledge of the subjects in greater depth. A virtual assistant guides the whole process, giving insights and support to help the student bridge the gap from theory to practice. Then, the system is essentially Knowledge based and Analysis based approach. The combination of generative AI along with embodied virtual agents has great potential when it comes to customized virtual conversation assistant for much wider range of applications. The study brings out the value of acquiring hands-on skills through simulated medical procedures and opens new frontiers of research and development in AI, VR, and medical education. In addition to assessing the effectiveness of such novel functionalities, the study also explores user experience related dimensions such as usability, task loading, and the sense of presence in proposed virtual medical environment.",2: AI Tutor ,1: Other ,
Development and Application of Intelligent Tutoring System Based on AI-assisted Robots,https://ieeexplore.ieee.org/document/11091958/,"To enhance the quality of classroom teaching in vocational schools, particularly the students' engagement during classes, this study proposes a solution for the development of an intelligent tutoring system supported by AI-assisted robots. Taking the automotive drive shaft as a case study, we focus on the concept of polar moment of inertia. The research consists of three key steps. First, we determined the dimensional parameters of the automotive drive shaft and calculated the parameters for both hollow and solid shafts using mathematical calculus formulas. Second, we incorporated the concept of polar moment of inertia into the teaching content and developed an intelligent tutoring system using Python, based on the Qwen API. Third, we conducted teaching experiments and evaluations. The results indicated that the experimental group (students using the intelligent tutoring system) improved their unit test scores by an average of 0.66 points (out of a maximum of 10) compared to the control group (students not using the intelligent tutoring system). Additionally, engagement scores in the experimental group increased by 1.29 points (out of a maximum of 10). At a significance level of 0.05 (two-tailed), there were significant differences between the experimental and control groups regarding both unit test and engagement scores. This study demonstrates the positive impact of the Qwen-based AI robot on students' learning. There is an urgent need to prioritize the development of more AI-based intelligent tutoring systems to further enhance the overall educational quality in vocational schools.",2: AI Tutor ,1: Other ,
KJSIT Learning Feedback System Development and Implementation,https://ieeexplore.ieee.org/document/10455045/,"The “KJSIT Learning Feedback System” is a user-centric platform developed at the K. J. Somaiya Institute of Information Technology (KJSIT) to enhance the feedback and review system among students, faculty, and administrators. It has a user-friendly interface for registration, login, and feedback submission, and it also ensures data security and privacy. Empowering students to share insights and concerns about their education and allowing educators to make data-driven improvements, the system aligns with contemporary educational needs and trends. The methodology prioritizes user-centric environment, agile development, data-driven decision-making reports, and professional development integration. According to us, the system’s future scope includes AI and machine learning integration, and enhanced user dashboards to further enhance learning system, and data visualization methods, emphasizing continuous improvement and innovation in the quality of education within KJSIT.",1: Somewhat AI related,2: CS,
